sample,r1_16s,r2_16s,r1_its,r2_its
GD105A,GD105A_16s_S17_L002_R1_001.fastq.gz,GD105A_16s_S17_L002_R2_001.fastq.gz,GD105A_ITS_S17_L002_R1_001.fastq.gz,GD105A_ITS_S17_L002_R2_001.fastq.gz
GD105B,GD105B_16s_S18_L002_R1_001.fastq.gz,GD105B_16s_S18_L002_R2_001.fastq.gz,GD105B_ITS_S18_L002_R1_001.fastq.gz,GD105B_ITS_S18_L002_R2_001.fastq.gz
GD106,GD106_16s_S16_L002_R1_001.fastq.gz,GD106_16s_S16_L002_R2_001.fastq.gz,GD106_ITS_S16_L002_R1_001.fastq.gz,GD106_ITS_S16_L002_R2_001.fastq.gz
GD108,GD108_16s_S15_L002_R1_001.fastq.gz,GD108_16s_S15_L002_R2_001.fastq.gz,GD108_ITS_S15_L002_R1_001.fastq.gz,GD108_ITS_S15_L002_R2_001.fastq.gz
GD120,GD120_16s_S9_L002_R1_001.fastq.gz,GD120_16s_S9_L002_R2_001.fastq.gz,GD120_ITS_S9_L002_R1_001.fastq.gz,GD120_ITS_S9_L002_R2_001.fastq.gz
GD122,GD122_16s_S1_L002_R1_001.fastq.gz,GD122_16s_S1_L002_R2_001.fastq.gz,GD122_ITS_S1_L002_R1_001.fastq.gz,GD122_ITS_S1_L002_R2_001.fastq.gz
GD124,GD124_16s_S2_L002_R1_001.fastq.gz,GD124_16s_S2_L002_R2_001.fastq.gz,GD124_ITS_S2_L002_R1_001.fastq.gz,GD124_ITS_S2_L002_R2_001.fastq.gz
GD125,NA,NA,GD125_ITS_S12_L002_R1_001.fastq.gz,GD125_ITS_S12_L002_R2_001.fastq.gz
GD133,NA,NA,GD133_ITS_S14_L002_R1_001.fastq.gz,GD133_ITS_S14_L002_R2_001.fastq.gz
GD138,NA,NA,GD138_ITS_S13_L002_R1_001.fastq.gz,GD138_ITS_S13_L002_R2_001.fastq.gz
GD145,GD145_16s_S10_L002_R1_001.fastq.gz,GD145_16s_S10_L002_R2_001.fastq.gz,GD145_ITS_S10_L002_R1_001.fastq.gz,GD145_ITS_S10_L002_R2_001.fastq.gz
GD153,GD153_16s_S3_L002_R1_001.fastq.gz,GD153_16s_S3_L002_R2_001.fastq.gz,GD153_ITS_S3_L002_R1_001.fastq.gz,GD153_ITS_S3_L002_R2_001.fastq.gz
GD201,GD201_16s_S8_L002_R1_001.fastq.gz,GD201_16s_S8_L002_R2_001.fastq.gz,GD201_ITS_S8_L002_R1_001.fastq.gz,GD201_ITS_S8_L002_R2_001.fastq.gz
GD203,GD203_16s_S7_L002_R1_001.fastq.gz,GD203_16s_S7_L002_R2_001.fastq.gz,GD203_ITS_S7_L002_R1_001.fastq.gz,GD203_ITS_S7_L002_R2_001.fastq.gz
GD204A,GD204A_16s_S19_L002_R1_001.fastq.gz,GD204A_16s_S19_L002_R2_001.fastq.gz,GD204A_ITS_S19_L002_R1_001.fastq.gz,GD204A_ITS_S19_L002_R2_001.fastq.gz
GD204B,NA,NA,GD204B_ITS_S20_L002_R1_001.fastq.gz,GD204B_ITS_S20_L002_R2_001.fastq.gz
GD220,GD220_16s_S6_L002_R1_001.fastq.gz,GD220_16s_S6_L002_R2_001.fastq.gz,GD220_ITS_S6_L002_R1_001.fastq.gz,GD220_ITS_S6_L002_R2_001.fastq.gz
GD233,GD233_16s_S5_L002_R1_001.fastq.gz,GD233_16s_S5_L002_R2_001.fastq.gz,GD233_ITS_S5_L002_R1_001.fastq.gz,GD233_ITS_S5_L002_R2_001.fastq.gz
GD239,GD239_16s_S11_L002_R1_001.fastq.gz,GD239_16s_S11_L002_R2_001.fastq.gz,GD239_ITS_S11_L002_R1_001.fastq.gz,GD239_ITS_S11_L002_R2_001.fastq.gz
GD243,GD243_16s_S4_L002_R1_001.fastq.gz,GD243_16s_S4_L002_R2_001.fastq.gz,GD243_ITS_S4_L002_R1_001.fastq.gz,GD243_ITS_S4_L002_R2_001.fastq.gz